block,plots,VCP0.32,VCP0.71,VCP1.18,lo1inph,lo2inph,lo3inph,lo1err,lo2err,lo3err,HCP0.32,HCP0.71,HCP1.18,hi1inph,hi2inph,hi3inph,hi1err,hi2err,hi3err,repeat,treatment,name
1,33,21.25,26.09,31.3,2.89,3.1,3.4,0,0,0,22.06,30.74,39.7,3.11,3.35,3.85,0.2,0.1,0,2,61,SY 11DE11228
1,33,22.39,25.47,30.67,2.89,3.09,3.37,0.1,0.3,0.1,21.68,29.58,38.01,3.06,3.3,3.92,0,0.2,0,3,61,SY 11DE11228
1,34,21.56,23.4,27.24,2.91,3.11,3.4,0,0.2,0,20.77,27.21,33.85,3.08,3.32,3.83,0.1,0.5,0.2,1,9,Player
1,34,23.67,24.9,28.65,2.88,3.02,3.22,0,0.2,0.3,22.57,28.35,33.91,3.07,3.32,3.89,0,0,0.2,2,9,Player
1,34,22.69,25.35,28.65,2.86,3.01,3.35,0,0.2,0.4,21.96,27.65,34.72,3.12,3.31,3.76,0.1,0,0,3,9,Player
1,35,20.58,23.6,28.72,2.91,3.11,3.42,0.7,0,0.4,21.27,27.24,36.73,3.07,3.34,3.8,0,0.2,0,1,30,SY Flint
1,35,21.65,23.66,28.22,2.87,3.1,3.4,0,0.3,0,20.35,26.72,35.55,3.04,3.36,3.79,0.1,0.2,0.2,2,30,SY Flint
1,35,21,24.21,29.59,2.87,3.13,3.42,0.1,0,0.4,21.46,28.62,37.03,3.04,3.3,3.81,0.1,0,0.2,3,30,SY Flint
1,36,21.91,25.97,30.41,2.89,3.12,3.47,0,0,0,21.99,29.33,37.89,3.1,3.41,3.82,0.2,0,0.1,1,60,SY Ferry
1,36,22.35,24.91,29.34,2.91,3.14,3.43,0.1,0.1,0.4,20,25.7,34.34,3.1,3.34,3.77,0,0.4,0.2,2,60,SY Ferry
1,36,19.51,21.31,25.67,2.9,3.13,3.39,0.2,0.2,0.1,18.4,24.5,32.41,3.08,3.35,3.75,0,0,0,3,60,SY Ferry
