VCP0.32,VCP0.71,VCP1.18,HCP0.32,HCP0.71,HCP1.18,VCP0.32_inph,VCP0.71_inph,VCP1.18_inph,HCP0.32_inph,HCP0.71_inph,HCP1.18_inph,plot,name,block
21.7,21.26,26.21,20.77,29.75,37.68,3.28,3.54,3.83,3.63,3.87,4.52,56,var55,1
17.58,21.19,27.2,20.77,31.76,41.85,3.33,3.53,3.87,3.61,3.88,4.51,56,var55,1
20.73,22.72,28.56,23.05,33.05,41.32,3.29,3.56,3.88,3.59,3.81,4.48,56,var55,1
22.4,23.43,28.98,22.31,32.39,40.15,3.3,3.54,3.87,3.59,3.88,4.62,57,var56,1
19.67,21.5,26.86,21.14,31.29,41.97,3.34,3.54,3.85,3.64,3.84,4.61,57,var56,1
18.65,19.92,25.89,19.24,30.65,39.81,3.3,3.54,3.81,3.64,3.87,4.56,57,var56,1
21.13,22.37,27.71,22.79,35.07,42.98,3.27,3.52,3.79,3.64,3.84,4.46,58,var57,1
22.39,25.0,29.21,23.57,34.94,43.86,3.28,3.5,3.79,3.68,3.89,4.5,58,var57,1
21.27,22.59,27.98,23.19,34.74,44.01,3.28,3.55,3.86,3.59,3.85,4.48,58,var57,1
15.65,18.38,23.5,20.04,28.35,35.27,3.35,3.5,3.78,3.66,3.87,4.45,59,var58,1
17.64,18.87,23.86,17.49,27.2,34.59,3.29,3.52,3.85,3.63,3.87,4.48,59,var58,1
20.13,21.22,25.13,20.74,27.6,33.34,3.28,3.53,3.84,3.66,3.83,4.43,59,var58,1
19.26,19.94,23.16,18.7,25.51,31.12,3.27,3.46,3.72,3.59,3.83,4.46,60,var59,1
17.98,18.98,23.18,18.65,26.58,32.81,3.24,3.39,3.69,3.61,3.82,4.61,60,var59,1
19.71,21.06,24.9,20.46,28.51,34.08,3.22,3.25,3.46,3.6,3.82,4.56,60,var59,1
17.78,19.15,23.24,17.78,24.79,31.39,3.29,3.52,3.8,3.61,3.84,4.39,61,var60,1
24.53,20.06,22.67,17.54,24.25,30.89,3.28,3.49,3.8,3.65,3.87,4.43,61,var60,1
16.97,17.66,22.31,16.31,24.13,30.12,3.3,3.55,3.81,3.61,3.8,4.3,61,var60,1
16.64,19.3,23.59,16.29,24.19,30.83,3.32,3.54,3.83,3.59,3.82,4.34,62,var61,1
15.25,16.4,21.27,15.88,23.0,30.62,3.32,3.55,3.84,3.64,3.82,4.32,62,var61,1
15.91,16.58,21.4,15.79,23.84,29.73,3.3,3.52,3.82,3.66,3.88,4.41,62,var61,1
