layer1,layer2,layer3,layer4,layer5,layer6,layer7,layer8,layer9,layer10,layer11,layer12,layer13,layer14,depth1,depth2,depth3,depth4,depth5,depth6,depth7,depth8,depth9,depth10,depth11,depth12,depth13,
33.45152873,32.64559937,30.713474,25.58788158,18.79663916,13.05926294,9.415309293,7.467702188,6.574189731,6.270771932,6.26644943,6.386103838,6.535093452,6.67200427,0.03125,0.10155,0.18945,0.29935,0.43665,0.6083,0.8229,1.0911,1.4264,1.8455,2.3693,3.0242,3.8427,
36.80123652,35.4786064,32.54254938,26.43334831,19.14975105,13.2596099,9.566631589,7.592437932,6.677796327,6.355258977,6.33272117,6.436248954,6.571597555,6.698372296,0.03125,0.10155,0.18945,0.29935,0.43665,0.6083,0.8229,1.0911,1.4264,1.8455,2.3693,3.0242,3.8427,
36.27657259,36.29895822,33.57169235,27.12232167,19.51371814,13.45569041,9.692740138,7.68816791,6.757213325,6.420958007,6.385696041,6.477103439,6.601967386,6.720430108,0.03125,0.10155,0.18945,0.29935,0.43665,0.6083,0.8229,1.0911,1.4264,1.8455,2.3693,3.0242,3.8427,
35.82046782,35.12222534,32.50446936,26.74368849,19.54231889,13.55638099,9.77326036,7.749535028,6.808278867,6.465377901,6.423020104,6.50702759,6.625149066,6.737636437,0.03125,0.10155,0.18945,0.29935,0.43665,0.6083,0.8229,1.0911,1.4264,1.8455,2.3693,3.0242,3.8427,
32.38971303,33.37338139,31.78235444,26.60777479,19.614766,13.6330793,9.81932443,7.780284758,6.833401667,6.488871585,6.444129398,6.525285481,6.640106242,6.749004522,0.03125,0.10155,0.18945,0.29935,0.43665,0.6083,0.8229,1.0911,1.4264,1.8455,2.3693,3.0242,3.8427,
38.08798324,38.04740707,34.47562573,27.68702586,19.94773693,13.72890896,9.848335631,7.788768596,6.838074398,6.493928177,6.450780544,6.532532009,6.647168306,6.755387421,0.03125,0.10155,0.18945,0.29935,0.43665,0.6083,0.8229,1.0911,1.4264,1.8455,2.3693,3.0242,3.8427,
31.42480045,34.84199157,32.79118573,26.97162585,19.78004589,13.7232568,9.855129595,7.785130401,6.828735318,6.48466377,6.444960041,6.529972574,6.646726487,6.756756757,0.03125,0.10155,0.18945,0.29935,0.43665,0.6083,0.8229,1.0911,1.4264,1.8455,2.3693,3.0242,3.8427,
37.92475728,36.67436828,31.73897864,26.02404622,19.52019364,13.72758971,9.878494517,7.785130401,6.814310051,6.467050378,6.429627725,6.519329813,6.640547181,6.753562504,0.03125,0.10155,0.18945,0.29935,0.43665,0.6083,0.8229,1.0911,1.4264,1.8455,2.3693,3.0242,3.8427,
35.46099291,35.14320857,31.13712791,26.04166667,19.75191594,13.90627173,9.957184108,7.799703611,6.7999456,6.443714157,6.407791875,6.502796202,6.629101757,6.746272684,0.03125,0.10155,0.18945,0.29935,0.43665,0.6083,0.8229,1.0911,1.4264,1.8455,2.3693,3.0242,3.8427,
24.9675422,29.42474621,30.04175804,26.58655252,20.33470932,14.21544935,10.07871476,7.82778865,6.787023212,6.417661404,6.381620932,6.481721545,6.61419406,6.73627484,0.03125,0.10155,0.18945,0.29935,0.43665,0.6083,0.8229,1.0911,1.4264,1.8455,2.3693,3.0242,3.8427,
